British Male,Weight,British Female,Weight,British Unisex,Weight,British Surname,Weight,French Male,Weight,French Female,Weight,French Unisex,Weight,French Surname,Weight,Spanish Male,Weight,Spanish Female,Weight,Spanish Unisex,Weight,Spanish Surname,Weight,Italian Male,Weight,Italian Female,Weight,Italian Unisex,Weight,Italian Surname,Weight,German Male,Weight,German Female,Weight,German Unisex,Weight,German Surname,Weight,Hungarian Male,Weight,Hungarian Female,Weight,Hungarian Unisex,Weight,Hungarian Surname,Weight,Greek Male,Weight,Greek Female,Weight,Greek Unisex,Weight,Greek Surname,Weight,Swedish Male,Weight,Swedish Female,Weight,Swedish Unisex,Weight,Swedish Surname,Weight,Russian Male,Weight,Russian Female,Weight,Russian Unisex,Weight,Russian Masculine Surname,Weight,Russian Feminine Surname,Weight
Freddie,1,Sophia,1,Harlow,1,Thompson,1,Ethan,1,Inès,1,Gene,1,Thomas,1,Samuel,1,Sophie,1,Kai,1,Hernández,1,Giuseppe,1,Giovanna,1,Gabriele,1,Gallo,1,Mathis,1,Lena,1,Robin,1,Koch,1,Imre,1,Piroska,1,Sami,1,Papp,1,Evangelos,1,Dimitra,1,Jaycee,1,Vlachos,1,Ilja,1,Mila,1,Mila,1,Jonsson,1,Mikhail,1,Yuliya,1,Kesha,1,Pavlov,1,Andreeva,1
Jack,1,Isabella,1,Charlie,1,Evans,1,Paul,1,Ambre,1,Jade,1,Leroy,1,Nicolás,1,Ellianna,1,Ryan,1,Jiménez,1,Niccolò,1,Sofia,1,Gioele,1,Conti,1,Jakob,1,Marie,1,Jann,1,Bauer,1,Károly,1,Ráhel,1,Mali,1,Takács,1,Antonios,1,Ioanna,1,Jayson,1,Antoniou,1,Cedrik,1,Élea,1,Eléa,1,Jansson,1,Denis,1,Darya,1,Khadi,1,Sokolov,1,Vasileva,1
Charlie,1,Grace,1,Aubrey,1,Walker,1,Gabin,1,Julia,1,Jeryn,1,David,1,Adrián,1,Lïa,1,Sandy,1,Díaz,1,Antonio,1,Stella,1,Leone,1,De Luca,1,Henry,1,Luisa,1,Mika,1,Richter,1,Lajos,1,Réka,1,Alexandra,1,Juhász,1,Emmanouil,1,Panagiota,1,Leka,1,Makris,1,Leonel,1,Ayleen,1,Ayleen,1,Hansson,1,Roman,1,Nadezhda,1,Kris,1,Aliev,1,Mikhaylova,1
Theo,1,Daisy,1,Parker,1,White,1,Nathan,1,Lou,1,Jules,1,Morel,1,Thélio,1,Abigaël,1,Noam,1,Álvarez,1,Federico,1,Adriana,1,Luca,1,Mancini,1,Levi,1,Klara,1,Yannik,1,Klein,1,Rókus,1,Tünde,1,Tomi,1,Lakatos,1,Theodoros,1,Despoina,1,Memphis,1,Papanikolaou,1,Theo,1,Roxie,1,Roxie,1,Bengtsson,1,Pavel,1,Viktoriya,1,Iman,1,Mikhaylov,1,Makarova,1
Alfie,1,Sienna,1,Casey,1,Roberts,1,Sacha,1,Juliette,1,Lavern,1,Roux,1,Max,1,Hannah,1,Sammie,1,Moreno,1,Marco,1,Greta,1,Lupo,1,Costa,1,Liam,1,Lotte,1,Sina,1,Wolf,1,Lőrinc,1,Zsófia,1,Rudi,1,Mészáros,1,Spyridon,1,Christina,1,Neko,1,Dimitriou,1,Ión,1,Lissi,1,Lissie,1,Jönsson,1,Igor,1,Lyudmila,1,Sima,1,Romanov,1,Sergeeva,1
Jacob,1,Poppy,1,Addison,1,Green,1,Noah,1,Agathe,1,Simone,1,Girard,1,David,1,Isabella,1,Avery,1,Muñoz,1,Flavio,1,Cristiana,1,Mattia,1,Giordano,1,Oskar,1,Nora,1,Maxi,1,Schröder,1,Márk,1,Zsuzsanna,1,Vida,1,Oláh,1,Anastasios,1,Foteini,1,Nicolae,1,Ioannidis,1,William,1,Leah,1,Leah,1,Lindberg,1,Anton,1,Galina,1,Tosha,1,Makarov,1,Zaytseva,1
Thomas,1,Elsie,1,Harper,1,Hall,1,Tom,1,Léna,1,Belot,1,Fournier,1,Emil,1,Julia,1,Skylar,1,Alonso,1,Luca,1,Fabrizia,1,Miche,1,Rizzo,1,Theo,1,Mara,1,Til,1,Neumann,1,Márton,1,Hanna,1,Margit,1,Simon,1,Andreas,1,Paraskevi,1,Nika,1,Georgiadis,1,Matteo,1,Lía,1,Lía,1,Jakobsson,1,Nikita,1,Kristina,1,Gera,1,Egorov,1,Nikolaeva,1
Finley,1,Emily,1,Ellis,1,Thomas,1,Mohamed,1,Iris,1,Candide,1,Lambert,1,Jack,1,Zoé,1,Aylan,1,Gutiérrez,1,Giovanni,1,Alice,1,Michi,1,Lombardi,1,Maximilian,1,Nele,1,Nino,1,Schwarz,1,Mátyás,1,Zoé,1,Demeter,1,Rácz,1,Ilias,1,Kalliopi,1,Nikeiza,1,Triantafyllou,1,León,1,Cléo,1,Cléo,1,Magnusson,1,Oleg,1,Alina,1,Aza,1,Kozlov,1,Zakharova,1
Arlo,1,Ella,1,Ezra,1,Clarke,1,Aaron,1,Jeanne,1,Chandler,1,Lefebvre,1,Isaac,1,Mila,1,Viv,1,Romero,1,Roberto,1,Isabella,1,Nico,1,Moretti,1,Moritz,1,Carlotta,1,Mo,1,Zimmermann,1,Sándor,1,Anna,1,Valeria,1,Fekete,1,Charalampos,1,Alexandra,1,Ocean,1,Papadakis,1,Thorvald,1,Emilia,1,Emilia,1,Olofsson,1,Ilya,1,Kseniya,1,Mina,1,Nikolaev,1,Stepanova,1
William,1,Evelyn,1,Bowie,1,Jackson,1,Antoine,1,Marianne,1,Clarence,1,Mercier,1,Paul,1,Yaëlle,1,Lyan,1,Navarro,1,Pietro,1,Lucrezia,1,Nicola,1,Alighieri,1,Leon,1,Ida,1,Lilian,1,Braun,1,Tamás,1,Léna,1,Sara,1,Almassy,1,Alexandros,1,Kyriaki,1,Ojal,1,Athanasiou,1,Thélio,1,Alicia,1,Alicia,1,Lindström,1,Viktor,1,Valentina,1,Asiat,1,Stepanov,1,Lebedeva,1
Lucas,1,Phoebe,1,Cassidy,1,Wood,1,Charles,1,Aurélie,1,Darel,1,Blanc,1,Mathis,1,Emily,1,Sunny,1,Torres,1,Stefano,1,Gaia,1,Remo,1,Capone,1,Milo,1,Lilly,1,Jasmin,1,Krüger,1,Zsigmond,1,Luca,1,Adrienn,1,Bathory,1,Stavros,1,Stavroula,1,Pasi,1,Konstantinidis,1,Birk,1,Desiree,1,Desiree,1,Lindqvist,1,Alexey,1,Lyubov,1,Ayshat,1,Andreev,1,Kozlova,1
Roman,1,Sofia,1,Dakota,1,Harris,1,François,1,Caroline,1,Dior,1,Dupont,1,Benjamin,1,Eva,1,Yanick,1,Domínguez,1,Angelo,1,Diletta,1,Simo,1,Endrizzi,1,Yannis,1,Frida,1,Nicky,1,Hofmann,1,Balasz,1,Emma,1,Kato,1,Csonka,1,Apostolos,1,Chrysoula,1,Pyralis,1,Ioannou,1,Oliver,1,Kellie,1,Kellie,1,Lindgren,1,Konstantin,1,Alyona,1,Senya,1,Zakharov,1,Nikitina,1
Tommy,1,Evie,1,Alex,1,Edwards,1,Georges,1,Charlotte,1,Gabriel,1,Faure,1,Levi,1,Cecilia,1,Noel,1,Gil,1,Mario,1,Olivia,1,Vale,1,Gatto,1,Jonatan,1,Johanna,1,Noel,1,Hartmann,1,Levente,1,Lili,1,Edit,1,Erdos,1,Petros,1,Theodora,1,Sandi,1,Alexiou,1,Nick,1,Anabelle,1,Anabelle,1,Axelsson,1,Artyom,1,Aleksandra,1,Raisa,1,Kovalenko,1,Egorova,1
Isaac,1,Charlotte,1,Drew,1,Turner,1,Guillaume,1,Delphine,1,Izod,1,Bertrand,1,Hugo,1,Kayla,1,Aydan,1,Vázquez,1,Luigi,1,Nicoletta,1,Vieri,1,Izzo,1,Julius,1,Isabella,1,Sky,1,Lange,1,Gaspar,1,Lilien,1,Vili,1,Garai,1,Stylianos,1,Athina,1,Sasha,1,Christodoulou,1,Maëlan,1,Luna,1,Luna,1,Berg,1,Kirill,1,Oksana,1,Aynur,1,Sergeev,1,Yakovleva,1
Teddy,1,Harper,1,Wren,1,Martin,1,Henri,1,Hélène,1,Jocelin,1,Morin,1,Timaé,1,Amelia,1,Taylor,1,Serrano,1,Alberto,1,Azzura,1,Vitto,1,Lo Duca,1,Milan,1,Maya,1,Nicola,1,Werner,1,Dominik,1,Lara,1,Kati,1,Halasz,1,Sotirios,1,Eleftheria,1,Sonja,1,Theodorou,1,Milo,1,Vera,1,Vera,1,Bergström,1,Yuriy,1,Evgeniya,1,Adel,1,Bondarenko,1,Frolova,1
Alexander,1,Millie,1,Zephyr,1,Cooper,1,Jean,1,Pauline,1,Marquette,1,Garnier,1,Lean,1,Luna,1,Devin,1,Garnier,1,Enzo,1,Zita,1,Aquila,1,Napoli,1,Till,1,Elina,1,Dylan,1,Krause,1,Mojzesz,1,Laura,1,Malika,1,Kerekes,1,Georg,1,Athanasia,1,Sonya,1,Giannopoulos,1,Leonard,1,Amilia,1,Amilia,1,Lundberg,1,Dmitry,1,Anastasia,1,Mata,1,Nikitin,1,Orlova,1
Luca,1,Matilda,1,Toni,1,Hill,1,Nicolas,1,Marine,1,Monet,1,Nicolas,1,Caylean,1,Lylia,1,Uli,1,Ramos,1,Cristiano,1,Agnese,1,Inizio,1,Pisano,1,Lewin,1,Mira,1,Chris,1,Meier,1,Salaman,1,Mira,1,Otto,1,Nemes,1,Thomas,1,Olga,1,Stefanie,1,Aetós,1,Vincent,1,Alia,1,Alia,1,Lundgren,1,Ruslan,1,Yulia,1,Marem,1,Zaytsev,1,Ibragimova,1
Edward,1,Maya,1,Terry,1,Ward,1,Matthieu,1,Laure,1,Noel,1,Marie,1,Hjarnar,1,Stéphanie,1,Jamie,1,Blanco,1,Orlando,1,Irene,1,Vita,1,Santucci,1,Konstantin,1,Tilda,1,Dana,1,Lehmann,1,Toncse,1,Sára,1,Margarita,1,Solyom,1,Stefanos,1,Styliani,1,Thea,1,Drakos,1,Aston,1,Valeria,1,Valeria,1,Lind,1,Vadim,1,Elizaveta,1,Khazan,1,Medvedev,1,Kotova,1
James,1,Sophie,1,Shay,1,Hughes,1,Sébastien,1,Valérie,1,Zuri,1,Rousseau,1,Ezio,1,Ella,1,Thale,1,Sanz,1,Valentino,1,Noemi,1,Valente,1,Valachi,1,Lennard,1,Madita,1,Vivian,1,Schulze,1,Zako,1,Olívia,1,Frici,1,Vadas,1,Ioan,1,Evgenia,1,Trina,1,Metaxas,1,Oskar,1,Klara,1,Anastasia,1,Lundqvist,1,Vitaliy,1,Anya,1,Mira,1,Orlov,1,Belova,1
